breeder,current_owner,reg_no,name,dob,dod,sex,sire,dam,notes,image,min_milk_yield,max_milk_yield,avg_milk_yield,height_to_withers,first_prize,second_prize,third_prize
Cappanuke,,OE000034,Cappanuke Cadette,28/12/2004,,female,Robienne Cador,Makepeace Cressida,"Born at 0700 out of Cressy by Cad. One of twins.  Black and white � Cad�s markings
Tag  73 damaged - destroyed and reassigned 116",,,,,,False,False,False
Cappanuke,,OE000140,Cappanuke Carstairs,16/12/2007,,male,Cappanuke Claude,Cappanuke Monica,,,,,,,False,False,False
Cappanuke,,OE000130,Cappanuke Claude,22/12/2006,,male,Cappanuke Marmaduke,Cappanuke Cadette,Born 1338 out of Cadette by Chuffy.  One of twins,,,,,,False,False,False
Cappanuke,,OE000004,Cappanuke Cuthbert,21/10/2003,,male,Robienne Cador,Makepeace Cressida,"Born at 1400 out of Cressy by Cad. A really good English Billy
Put down - interludes became more frequent.",,,,,,False,False,False
Cappanuke,,OE000033,Cappanuke Cyril,28/12/2004,,male,Robienne Cador,Makepeace Cressida,"Has Cressy�s markings.
Developed an umbilical hernia @ 6 weeks old.  Examined by vet and decided to put him down as it was the sort that could become strangulated and is a heredity feature passed down by both male and female lines.",,,,,,False,False,False
Cappanuke,,OE000080,Cappanuke Dainty,28/12/2005,,female,Cappanuke Cuthbert,Eshlaude Dora,Born 1405 out of Dora by Cuthbert,,,,,,False,False,False
Cappanuke,,OE000081,Cappanuke Darcy,28/12/2005,,male,Cappanuke Cuthbert,Eshlaude Dora,"Born 1410 out of Dora by Cuthbert
Poor temperament - round the twist!",,,,,,False,False,False
Cappanuke,,OE000049,Cappanuke Dorcas,06/03/2005,,female,Cappanuke Harvey,Eshlaude Dora,"Born 0930 out of Dora by Harvey
Poor temperament - poor udder",,,,,,False,False,False
Cappanuke,,OE000029,Cappanuke Edward,08/04/2004,,male,Robienne Cador,Makepeace Dainty,"Born 1917 out of Dainty by Cad - Born mispresented -  head first. 
4 May 04 - Found dead - Cause unknown",,,,,,False,False,False
Cappanuke,,OE000075,Cappanuke Emerald,08/01/2006,,female,Cappanuke Cuthbert,Cappanuke Emma,Born 1310 out of Emma by Cuthbert,,,,,,False,False,False
Cappanuke,,OE000028,Cappanuke Emma,08/04/2004,,female,Robienne Cador,Makepeace Dainty,"Born 1925 out of Dainty by Cad - One of Twins.  
Both her mother and grand mother died of anorexia shortly after giving kidding
Lost ear tag 056 - assigned new tag 120

Nanny list as of 7 Dec 04",,,,,,False,False,False
Cappanuke,,OE000139,Cappanuke Fairfax,16/12/2007,,male,Cappanuke Claude,Cappanuke Monica,,,,,,,False,False,False
Cappanuke,,OE000133,Cappanuke Gareth,24/12/2006,,male,Cappanuke Marmaduke,Cappanuke Jane,Born @ 0715 out of Jane by Chuffy.  One of twins - Darker colour - white mark mid spine,,,,,,False,False,False
Cappanuke,,OE000134,Cappanuke Geoffrey,24/12/2006,,male,Cappanuke Marmaduke,Cappanuke Jane,Born @0730 out of Jane by Chuffy.  One of twins - Lighter colour and slightly smaller,,,,,,False,False,False
Cappanuke,,OE000082,Cappanuke Gilbert,29/12/2005,,male,Cappanuke Lucius,Cappanuke Beth,"Born  1925 out of Beth by Luke - fiesty little handful
Bad temperament",,,,,,False,False,False
Cappanuke,,OE000014,Cappanuke Hannah,24/03/2004,,female,Robienne Cador,Talisman Myrtle,"Born 1631 out of Myrtle by Cad
1 Aug 06 - Abattoir",,,,,,False,False,False
Cappanuke,,OE000015,Cappanuke Harvey,24/03/2004,,male,Robienne Cador,Talisman Myrtle,"Born 1625 - Out of Myrtle by Cad
From January  05 onwards became increasingly erratic in behaviour towards other nannies and kids � tried taking on Cuthbert for senior billy status.  Believed to have small stroke which affected his brain towards end Feb.  7 Mar attacked Clare, Luke and Noisy for no reason and attacked Hannah, Shelia and Shona next day",,,,,,False,False,False
Cappanuke,,OE000007,Cappanuke Jade,08/06/2003,,female,Millwind Jester,Millwind Miss,"Born 2045 out of  Misty by Millwind Jester.
Sold to Mrs H Shields, 33 Gravir
Returned after loss of home
Only one from returning from Gravir not badly affected by Liver Fluke, but temperament with other goats still bad and not wanted by  the flock � 
especially her mother.
See BGS Year Book 1981 P23 ref colour.  Put down - poor temperament",,,,,,False,False,False
Cappanuke,,OE000006,Cappanuke Jasper,08/06/2003,,male,Millwind Jester,Millwind Miss,"Born 2030 out of Misty by Millwind Jester.
Jul 03 developed abscess near umbilical cord.  Treated by Vet
Aug 03 slight hernia, vet notified
15 Oct 03 Starting to show rogue temperament � not a good mating.
Nov 03 abscess on nose � treated by vet.
Doubts over immune system.  Confirmation not developing properly - poor rear end",,,,,,False,False,False
Cappanuke,,OE000132,Cappanuke Kate,25/03/2007,,female,Cappanuke Marmaduke,Cappanuke Emerald,Born @0730,,,,,,False,False,False
Cappanuke,,OE000041,Cappanuke Lucius,07/03/2005,,male,Cappanuke Cuthbert,Clare of Cappanuke,"Born 0845 out of Clare by Cuthbert
1 Aug 06 - Abattoir",,,,,,False,False,False
Cappanuke,,OE000027,Cappanuke Margo,29/03/2004,,female,Robienne Cador,Millwind Miss,"Out of Misty by Cad at 1400 - One of twins - male still born
Nanny list as of 7/12/4 - Chip off the old block!
 Very poor udder attachment - large bottle udder but only attached over a small area.
Temperament with other goats failing",,,,,,False,False,False
Cappanuke,,OE000037,Cappanuke Marmaduke,16/01/2005,,male,Cappanuke Cuthbert,Millwind Miss,"Born 1025 out of Misty by Cuthbert - one of twins
Early 2006 had interlude, dosed with Cod Liver Oil and apparently recovered.
Oct 06 behavoir erratic after arrival of another billy.  Lost cotrol of senses when Miranda came into season and started attacking his mother etc.  Decide not to take any changes although he calmed down again",,,,,,False,False,False
Cappanuke,,OE000038,Cappanuke Maud,16/01/2005,,female,Cappanuke Cuthbert,Millwind Miss,Born 1045 out of Misty by Cuthbert. Onew of twins,,,,,,False,False,False
Cappanuke,,OE000077,Cappanuke Mimi,22/02/2006,,female,Cappanuke Cuthbert,Cappanuke Margo,"Born 1020. One of Twins - Thin eel stripe - lighter coat.
24/1/7 - Appeared to have fit.  Started to lose condition and ceased being part of flock.  Put down.",,,,,,False,False,False
Cappanuke,,OE000030,Cappanuke Miracle,02/05/2004,,male,Galloway Feral,Fatima of Cappanuke,"Born out of Fatima by a Feral Herd Billy much to everyone�s amazement.
31 May 04 - Found dead in the morning.  No apparent cause of death, but had a slight touch of sunstroke two days earlier",,,,,,False,False,False
Cappanuke,,OE000076,Cappanuke Miranda,22/02/2006,,female,Cappanuke Cuthbert,Cappanuke Margo,Born 1005 out of Margo by Cuthbert.  One of twins - Thick eel stripe - darker coat. White patch on forehead.,,,,,,False,False,False
Cappanuke,,OE000131,Cappanuke Monica,28/12/2006,,female,Cappanuke Gilbert,Cappanuke Maud,Born 0905 out of Maud by Gilbert,,,,,,False,False,False
Cappanuke,,OE000035,Cappanuke Roderick,02/01/2005,,male,Robienne Cador,Talisman Briarny,"Born 0600 out of Briarny by Cad
One of twins- Black belly
Could not settle back in flock.  Started to show signs of instablility
Put down",,,,,,False,False,False
Cappanuke,,OE000036,Cappanuke Rose,02/01/2005,,female,Robienne Cador,Talisman Briarny,Born 0630 out of Briarny by Cad.  One of twins.  White patch on forehead,,,,,,False,False,False
Cappanuke,,OE000074,Cappanuke Rupert,28/12/2005,,male,Cappanuke Lucius,Cappanuke Rose,"Born 1450 out of Rose by Luke
Very Jekyll and Hyde in nature.  Not very discriminate with his horns",,,,,,False,False,False
Cappanuke,,OE000043,Cappanuke Ruth,28/03/2005,,female,Cappanuke Harvey,Crescendo of Cappanuke,Born 1245 out of Noisy by Harvey,,,,,,False,False,False
Cappanuke,,OE000084,Cappanuke Sarah,14/03/2006,,female,Cappanuke Cuthbert,Cappanuke Sheila,Born @1020 out of Sheila by Cuthbert,,,,,,False,False,False
Cappanuke,,OE000039,Cappanuke Sheila,06/03/2005,,female,Tufty of Cappanuke,Cappanuke Hannah,"Born 1220 out of Hannah by Tufty - one of twins
June - health deteriorating - losing ability to convert food properly",,,,,,False,False,False
Cappanuke,,OE000040,Cappanuke Shona,06/03/2005,,female,Tufty of Cappanuke,Cappanuke Hannah,"Born 1240 out of Hannah by Tufty
1 Aug 06 - Abattoir",,,,,,False,False,False
Cappanuke,,OE000083,Cappanuke Stephanie,14/03/2006,,female,Cappanuke Cuthbert,Cappanuke Sheila,Born @1020 out of Sheila by Cuthbert,,,,,,False,False,False
Cappanuke,,OE000003,Cappanuke Tramp,14/09/2003,,male,Robienne Cador,Makepeace Doxy,"Born 0730 out of Doxy by Cad -  Firstly truly Calbost goat!
As at 8 Dec 03, not making the grade: by 8 Jan 04 was back on track thank goodness.
Developed 2 extra nipples June 04 and suffered 2 strokes and after the 2nd one started to lose control of limbs.",,,,,,False,False,False
Caprica,,OE000292,Caprica Gracie,24/06/13,,female,Whernside Wilfred,Talisman Pearl,,,,,,,False,False,False
Cappanuke,,OE000013,Clare of Cappanuke,01/03/2003,,female,Galloway Feral,Galloway Feral,"Arrived on 19 April from  Galloway Goat Park before cull.
1 Aug 06 - Abattoir",,,,,,False,False,False
Clarkshill,,OE000166,Clarkshil Niobe,04/07,,female,Roachburn Kelvin,?Clarkshill Molly II,,,,,,,False,False,False
Clarkshill,,OE000177,Clarkshill Archie,02/04/08,,male,George of Clarkshill,Whernside Edna,,,,,,,False,False,False
Clarkshill,,OE000158,Clarkshill Bev,08/07/06,,female,Clarkshill Ben,Clarkshill Dot,,,,,,,False,False,False
Clarkshill,,OE000206,Clarkshill Clara,29/03/09,,female,McTavish of Talisman,Clarkshill Maisey,,,,,,,False,False,False
Clarkshill,,OE000178,Clarkshill David,04/04/08,,male,George of Clarkshill,Clarkshill Maisey,one season with Talisman  herd then to Marg. Silcock. Sold 2011,,,,,,False,False,False
Clarkshill,,OE000153,Clarkshill Dorothy,23/03/04,,female,Clarkshill William,Clarkshill Maisey,EGBA-A1871,,,,,,False,False,False
Clarkshill,,OE000154,Clarkshill Dot,21/03/05,,female,Roachburn Kelvin,Whernside Edna,,,,,,,False,False,False
Clarkshill,,OE000211,Clarkshill Edna,04/04/10`,,female,Newton of Whernside,Clarkshill Maisey,dead,,,,,,False,False,False
Clarkshill,,OE000210,Clarkshill Foxglove,15/03/10,,female,Newton of Whernside,Clarkshill Madge,,,,,,,False,False,False
Clarkshill,,OE000207,Clarkshill Harry,29/03/09,,male,McTavish of Talisman,Clarkshill Maisey,,,,,,,False,False,False
Clarkshill,,OE000180,Clarkshill Isaac,04/08,,male,George of Clarkshill,Clarkshill Dot,went to  Denny Allan's,,,,,,False,False,False
Clarkshill,,OE000209,Clarkshill Janet,22/03/10,,female,Newton of Whernside,Clarkshill Dorothy,eye problems,,,,,,False,False,False
Clarkshill,,OE000255,Clarkshill Jean,29/03/11,,female,Clarkshill Littlebilly,Clarkshill Clara,accidental death,,,,,,False,False,False
Clarkshill,,OE000159,Clarkshill Joy,12/04/06,,female,Clarkshill Ben,Whernside Edna,,,,,,,False,False,False
Clarkshill,,OE000161,Clarkshill Littlebilly,02/04/08,,male,George of Clarkshill,Whernside Edna,,,,,,,False,False,False
Clarkshill,,OE000155,Clarkshill Madge,21/03/05,,female,Roachburn Kelvin,Whernside Edna,,,,,,,False,False,False
Clarkshill,,OE000152,Clarkshill Maisey,02/04/00,,female,Linjen Ronan,Whernside Edna,EGBA- B1786,,,,,,False,False,False
Clarkshill,,OE000208,Clarkshill Molly  IV,22/03/09,,female,McTavish of Talisman,Clarkshill Molly III,,,,,,,False,False,False
Clarkshill,,OE000167,Clarkshill Molly II,29/03/05,,female,Clarkshill Jack,Clarkshill Clover,,,,,,,False,False,False
Clarkshill,,OE000156,Clarkshill Molly III,04/07,,female,Roachburn Kelvin,Clarkshill Molly II,,,,,,,False,False,False
Clarkshill,,OE000181,Clarkshill Peter,04/08,,male,George of Clarkshill,Clarkshill Dorothy,,,,,,,False,False,False
Clarkshill,,OE000256,Clarkshill Primrose,09/04/11,,female,Clarkshill Sam,Clarkshill Madge,,,,,,,False,False,False
Clarkshill,,OE000204,Clarkshill Rosebud,22/03/09,,female,McTavish of Talisman,Talisman Rosie,,,,,,,False,False,False
Clarkshill,,OE000164,Clarkshill Sam,04/08,,male,George of Clarkshill,Clarkshill Dot,,,,,,,False,False,False
Clarkshill,,OE000205,Clarkshill Ted,31/05/09,,male,McTavish of Talisman,Mary of Clarkshill,,,,,,,False,False,False
Clarkshill,,OE000165,Clarkshill Trinity,04/07,,female,Roachburn Kelvin,?Clarkshill Madge,,,,,,,False,False,False
Cappanuke,,OE000011,Coleen of Cappanuke,01/03/2003,,female,Galloway Feral,Galloway Feral,"Arrived on 19 April from  Galloway Goat Park before cull.  
Did not recover from starvation on the hills.  Died 0800 in our arms.  
Another death due to lack of feeding by the Forestry Commission and SNH!",,,,,,False,False,False
Cappanuke,,OE000012,Crescendo of Cappanuke,01/03/2003,,female,Galloway Feral,Galloway Feral,"Arrived on 19 April from  Galloway Goat Park before cull.
Bad case of mange on arrival.  Sprayed with alamycin and cleared up within a week.  Coat grew back thick and shiny.  Possibly sister of Clare
1 Aug 06 - Abattoir",,,,,,False,False,False
Dublin,,UK3,Dublin Amber,,,male,Boniface Oak,Anya of Dublin,,,,,,,False,False,False
Dublin,,OE000138,Dublin Emerald,26/09/2007,,female,Boniface Oak,Daisy May,,,,,,,False,False,False
Cappanuke,,OE000009,Fatima of Cappanuke,01/03/2000,,female,Galloway Feral,Agatha of Cappanuke,Arrived on 19 April from  Galloway Goat Park before cull. Daughter of Agatha. 1st to domesticate. Reached a certain point of domestication then started to revert to feral and started to try and gouge goats and dogs. Thrown out by main flock - pointless to continue with her.,,,,,,False,False,False
Hillgill,,OE000335,Hillgill Ally,08/04/15,,female,Clarkshill Ted,Hillgill Thelma,,,,,,,False,False,False
Hillgill,,OE000334,Hillgill Bertie,04/04/15,,male,Clarkshill Archie,Clarkshill Molly IV,,,,,,,False,False,False
Hillgill,,OE000323,Hillgill Betty,15/04/14,,female,Clarkshil Ted,Hillgill Greta,,,,,,,False,False,False
Hillgill,,OE000302,Hillgill Greta,22/06/13,,female,Clarkshill Sam,Clarkshill Molly IV,,,,,,,False,False,False
Hillgill,,OE000266,Hillgill Janet,15/03/12,,female,Clarkshill Sam,Clarkshill Clara,,,,,,,False,False,False
Hillgill,,OE000331,Hillgill Mary,31/01/15,,female,unknown,Hillgill Daisy,,,,,,,False,False,False
Hillgill,,OE000303,Hillgill Phoebe,19/03/13,,female,Clarkshill Sam,Clarkshill Clara,,,,,,,False,False,False
Hillgill,,OE000344,Hillgill Robbie,19/05/16,,male,Middlearth Robbie,Clarkshill Molly IV,,,,,,,False,False,False
Hillgill,,OE000336,Hillgill Sally,08/04/15,,female,Clarkshill Ted,Hillgill Thelma,,,,,,,False,False,False
Hillgill,,OE000333,Hillgill Sambo,22/03/15,,male,Clarkshill Ted,Hillgill Greta,,,,,,,False,False,False
Hillgill,,OE000343,Hillgill Suzie,30/03/16,,female,Clarkshill Ted,Hillgill Thelma,,,,,,,False,False,False
Hillgill,,OE000265,Hillgill Thelma,13/03/12,,female,Clarkshill Sam,Clarkshill Molly IV,,,,,,,False,False,False
Hillgill,,OE000332,Hillgill Tulip,18/03/15,,female,Clarkshill Ted,Hillgill Phoebe,,,,,,,False,False,False
Homestead,,OE000267,Homestead Bluebell,22/02/12,,female,Cappanuke Lenny,Sharabek Milly,,,,,,,False,False,False
Homestead,,OE000268,Homestead Snowdrop,22/02/12,,female,Cappanuke Lenny,Sharabek Milly,,,,,,,False,False,False
Jinglejoys,,OE000099,Jinglejoys 01/06,,,male,Jinglejoys Adam,Jinglejoys Nikea,Litter notification.  Light fawn/strong marks with  top knot,,,,,,False,False,False
Jinglejoys,,OE000056,Jinglejoys 02/05,20/05/2005,,male,Jinglejoys Lucky Star,Pearl of Jinglejoys,Blue/White,,,,,,False,False,False
Jinglejoys,,OE000100,Jinglejoys 02/06,,,male,Jinglejoys Adam,Jinglejoys Nancy,Litter notification.  Blue/white plain kid.  Not special,,,,,,False,False,False
Jinglejoys,,OE000057,Jinglejoys 03/05,01/04/2005,,male,Jinglejoys Saturn,Smoke of Jinglejoys,Black/White,,,,,,False,False,False
Jinglejoys,,OE000106,Jinglejoys 04/06,21/03/2006,,female,Jinglejoys Adam,Lilly,Blue/white/thicker coat and shows promise,,,,,,False,False,False
Jinglejoys,,OE000059,Jinglejoys 05/05,01/02/2005,,female,Jinglejoys Saturn,Jinglejoys Nightjar,Silver/Fawn/White,,,,,,False,False,False
Jinglejoys,,OE000108,Jinglejoys 05/06,,,female,Jinglejoys Adam,Unregistered,Shortcoat plain nanny.  Dams ear tag 39,,,,,,False,False,False
Jinglejoys,,OE000060,Jinglejoys 06/05,23/01/2005,,female,Jinglejoys Saturn,Jinglejoys Heidi,Silver/Fawn,,,,,,False,False,False
Jinglejoys,,OE000109,Jinglejoys 06/06,15/03/2006,,male,Jinglejoys Adam,Jinglejoys Lucinda,Ice blue.  Chunky boy worth watching,,,,,,False,False,False
Jinglejoys,,OE000061,Jinglejoys 07/05,17/01/2005,,male,Jinglejoys Notesheet,Sweetrose of Jinglejoys,Black/tan.  Bottle reared.,,,,,,False,False,False
Jinglejoys,,OE000110,Jinglejoys 07/06,15/03/2006,,female,Jinglejoys Adam,Jinglejoys Lucinda,Fawn/white.  Will watch,,,,,,False,False,False
Jinglejoys,,OE000062,Jinglejoys 08/05,05/02/2005,,male,Jinglejoys Saturn,Jinglejoys Taffitina,Blue/white,,,,,,False,False,False
Jinglejoys,,OE000111,Jinglejoys 08/06,15/03/2006,,female,Jinglejoys Adam,Jinglejoys Nightjar,Blue/white.  Looks promising,,,,,,False,False,False
Jinglejoys,,OE000064,Jinglejoys 09/05,28/01/2005,,male,Jinglejoys Saturn,Jinglejoys Nancy,,,,,,,False,False,False
Jinglejoys,,OE000112,Jinglejoys 09/06,,,female,Jinglejoys Adam,Smoke of Jinglejoys,,,,,,,False,False,False
Jinglejoys,,OE000113,Jinglejoys 10/06,,,male,Jinglejoys Adam,Jinglejoys Tapestry,Fawn with egba markings.  Nice but plain,,,,,,False,False,False
Jinglejoys,,OE000068,Jinglejoys 13/05,29/12/2004,,female,Jinglejoys Saturn,Jinglejoys Nutkin,Silver/White.  Deceased (arbitory date),,,,,,False,False,False
Jinglejoys,,OE000026,Jinglejoys Adam,10/02/2002,,male,Jinglejoys Nymphs Silva,Jinglejoys Angelica,,,,,,,False,False,False
Jinglejoys,,OE000055,Jinglejoys Beetlejuice,01/02/2005,,male,Jinglejoys Saturn,Jinglejoys Buttabriar,Silver/Fawn and White.,,,,,,False,False,False
Jinglejoys,,OE000017,Jinglejoys Buttabriar,06/02/2002,,female,Jinglejoys Woody,Jinglejoys Brandybutta,,,,,,,False,False,False
Jinglejoys,,OE000114,Jinglejoys Hansell,12/03/2004,,male,Jinglejoys Neptune,Heidi,Kept him back as promising,,,,,,False,False,False
Jinglejoys,,OE000022,Jinglejoys Heidi,16/02/2002,,female,Jinglejoys Blue Moon,Unknown,Dam of unknown parentage,,,,,,False,False,False
Jinglejoys,,OE000024,Jinglejoys Klarrissa,11/02/2002,,female,Jinglejoys Nymphs Silva,Jinglejoys Klova,,,,,,,False,False,False
Jinglejoys,,OE000104,Jinglejoys Kneesocks,23/03/2006,,female,Jinglejoys Adam,Jinglejoys Nishca,Fawn/black mask and black socks,,,,,,False,False,False
Jinglejoys,,OE000235,Jinglejoys Lyla,17/03/09,,female,Jinglejoys Sard,Jinglejoys Lola,,,,,,,False,False,False
Jinglejoys,,OE000098,Jinglejoys Magna,14/03/2006,,male,Jinglejoys Adam,Jinglejoys Mist,Nice billy.  Mother has done him well.  Worth keeping an eye on. blue/white poss half-coat,,,,,,False,False,False
Jinglejoys,,OE000298,Jinglejoys Marble,30/05/13,,female,Cloud of Jinglejoys,Jinglejoys Marianne,,,,,,,False,False,False
Jinglejoys,,OE000233,Jinglejoys Mariane,27/03/07,,female,Jinglejoys Titan,Jinglejoys Mist,,,,,,,False,False,False
Jinglejoys,,OE000097,Jinglejoys Mist,01/03/2004,,female,Jinglejoys Neptune,Smoke of Jinglejoys,Left to mature.  Has nice male kid and good udder.  Think worth registering,,,,,,False,False,False
Jinglejoys,,OE000063,Jinglejoys Nancy,16/02/2002,,female,Jinglejoys Blue Moon,Jinglejoys Nannette,,,,,,,False,False,False
Jinglejoys,,OE000345,Jinglejoys Naomi,08/06/14,,female,Jinglejoys Nutcracker,Jinglejoys Nitya,,,,,,,False,False,False
Jinglejoys,,OE000282,Jinglejoys Neddy,09/03/12,,male,Jinglejoys Nobelium,Jinglejoys Nippa,,,,,,,False,False,False
Jinglejoys,,OE000294,Jinglejoys Nero,17/05/13,,male,Jinglejoys Nutcracker,Jinglejoys Nimity,,,,,,,False,False,False
Jinglejoys,,OE000025,Jinglejoys Nettle,14/02/2002,,female,Jinglejoys Lucky Star,Jinglejoys Nicholia,Deceased - (arbitary date).  Enterotoxaemia,,,,,,False,False,False
Jinglejoys,,OE000069,Jinglejoys Niceone,30/01/2005,,female,Jinglejoys Lucky Star,Jinglejoys Nicety,Blue roan,,,,,,False,False,False
Jinglejoys,,OE000234,Jinglejoys Nickel,17/03/08,,female,Jinglejoys Adam,Jinglejoys Nymph,,,,,,,False,False,False
Jinglejoys,,OE000021,Jinglejoys Nightjar,16/02/2002,,female,Jinglejoys Lucky Star,Jinglejoys Nightingale,,,,,,,False,False,False
Jinglejoys,,OE000296,Jinglejoys Nikita,18/05/13,,female,Jinglejoys Magna,Jinglejoys Nickle,,,,,,,False,False,False
Jinglejoys,,OE000102,Jinglejoys Nimity,16/03/2006,,female,Jinglejoys Adam,Jinglejoys Nicety,Litter notification.  Plain fawn/white nanny,,,,,,False,False,False
Jinglejoys,,OE000261,Jinglejoys Nippa,04/11,,female,Jinglejoys Nobelium,Jinglejoys Nickle,,,,,,,False,False,False
Jinglejoys,,OE000066,Jinglejoys Nishca,30/01/2005,,female,Jinglejoys Saturn,Jinglejoys Nikea,Fawn/white,,,,,,False,False,False
Jinglejoys,,OE000295,Jinglejoys Nitya,18/05/13,,female,Jinglejoys Magna,Jinglejoys Nickle,,,,,,,False,False,False
Jinglejoys,,OE000297,Jinglejoys Nixie,19/05/13,,female,Cloud of Jinglejoys,Jinglejoys Nippa	OE297,,,,,,,False,False,False
Jinglejoys,,OE000293,Jinglejoys Nixon,13/03/12,,male,Jinglejoys Nobelium,Jinglejoys Nickle,,,,,,,False,False,False
Jinglejoys,,OE000237,Jinglejoys Nobelium,16/01/08,,male,Jinglejoys Nizam,Jinglejoys Nishca,,,,,,,False,False,False
Jinglejoys,,OE000107,Jinglejoys Noel,25/12/2005,,female,Jinglejoys Neptune,Jinglejoys NiceOne,Blue longcoat,,,,,,False,False,False
Jinglejoys,,OE000065,Jinglejoys Nuiscance,18/01/2005,,female,Jinglejoys Saturn,Jinglejoys Nightingale,Silver/Fawn/White.  Bottle reared,,,,,,False,False,False
Jinglejoys,,OE000279,Jinglejoys Nutcracker,09/03/12,,male,Jinglejoys Nobelium,Jinglejoys Nymph,,,,,,,False,False,False
